                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
76,1.3898,1.4924,1.1822,0.72237,0.48811,0.54409,0.32404,1.3075,1.4062,1.2007,0.00090719,0.00090719,0.00090719
77,1.3799,1.4549,1.1612,0.71051,0.54233,0.55956,0.33497,1.2581,1.3372,1.1743,0.00090595,0.00090595,0.00090595
78,1.3753,1.4636,1.1719,0.66233,0.55183,0.55307,0.33732,1.2617,1.3367,1.1749,0.00090471,0.00090471,0.00090471
79,1.3419,1.465,1.1663,0.69384,0.55706,0.5687,0.34858,1.2508,1.3085,1.1728,0.00090347,0.00090347,0.00090347
80,1.3659,1.412,1.1719,0.70581,0.57327,0.57837,0.35903,1.1998,1.2751,1.142,0.00090224,0.00090224,0.00090224
81,1.3488,1.4247,1.1521,0.70997,0.53169,0.56965,0.35106,1.2074,1.31,1.1498,0.000901,0.000901,0.000901
82,1.3382,1.4123,1.1497,0.69178,0.54023,0.57191,0.34865,1.2293,1.3296,1.1539,0.00089976,0.00089976,0.00089976
83,1.3634,1.4657,1.1742,0.73728,0.54668,0.58536,0.36649,1.2135,1.2971,1.1555,0.00089853,0.00089853,0.00089853
84,1.3282,1.4025,1.1595,0.73906,0.5625,0.58796,0.36699,1.2066,1.2584,1.1483,0.00089729,0.00089729,0.00089729
85,1.3104,1.3844,1.1477,0.73516,0.53151,0.57338,0.35432,1.232,1.2937,1.1561,0.00089605,0.00089605,0.00089605
86,1.354,1.4089,1.1769,0.74516,0.54765,0.59659,0.36169,1.2399,1.2455,1.1606,0.00089481,0.00089481,0.00089481
87,1.3235,1.37,1.1456,0.77539,0.53216,0.59388,0.37158,1.1997,1.2515,1.1449,0.00089358,0.00089358,0.00089358
88,1.3276,1.405,1.1622,0.73363,0.55617,0.58161,0.36,1.2179,1.3233,1.1528,0.00089234,0.00089234,0.00089234
89,1.3112,1.3994,1.1398,0.75089,0.56019,0.58942,0.3717,1.1922,1.227,1.1413,0.0008911,0.0008911,0.0008911
90,1.2981,1.3841,1.1403,0.71836,0.57857,0.60587,0.3857,1.1793,1.2187,1.1317,0.00088986,0.00088986,0.00088986
91,1.307,1.3917,1.154,0.73574,0.55514,0.58701,0.36406,1.215,1.2407,1.1419,0.00088862,0.00088862,0.00088862
92,1.3148,1.3737,1.1424,0.73358,0.57406,0.6065,0.37371,1.2056,1.2145,1.1439,0.00088739,0.00088739,0.00088739
93,1.3273,1.3686,1.1493,0.72445,0.56605,0.59411,0.37352,1.193,1.2407,1.1412,0.00088615,0.00088615,0.00088615
94,1.3084,1.3395,1.1431,0.70565,0.58978,0.60894,0.3832,1.1692,1.2216,1.1252,0.00088491,0.00088491,0.00088491
95,1.297,1.3527,1.1369,0.75446,0.55647,0.61291,0.38816,1.1845,1.2442,1.1291,0.00088368,0.00088368,0.00088368
96,1.304,1.3827,1.1364,0.73563,0.58255,0.60747,0.38518,1.1748,1.216,1.1279,0.00088244,0.00088244,0.00088244
97,1.2945,1.314,1.1409,0.7436,0.57819,0.60671,0.38722,1.1911,1.211,1.1374,0.0008812,0.0008812,0.0008812
98,1.2768,1.3195,1.1296,0.74616,0.59571,0.61868,0.3978,1.1556,1.1844,1.1193,0.00087996,0.00087996,0.00087996
99,1.2944,1.3202,1.13,0.74782,0.59164,0.61754,0.39474,1.1496,1.1643,1.1099,0.00087873,0.00087873,0.00087873
100,1.2897,1.3462,1.1321,0.76065,0.58067,0.62811,0.40191,1.1621,1.1542,1.1158,0.00087749,0.00087749,0.00087749
101,1.2798,1.315,1.1376,0.73564,0.59794,0.61546,0.39466,1.179,1.2379,1.1248,0.00087625,0.00087625,0.00087625
102,1.2938,1.3218,1.1307,0.77352,0.58668,0.63079,0.40058,1.1526,1.1423,1.1094,0.00087501,0.00087501,0.00087501
103,1.2985,1.3366,1.1545,0.75433,0.55862,0.61475,0.38954,1.1748,1.2085,1.122,0.00087378,0.00087378,0.00087378
104,1.3213,1.3188,1.1381,0.76038,0.58787,0.62088,0.39352,1.1776,1.1748,1.1224,0.00087254,0.00087254,0.00087254
105,1.2717,1.2898,1.1212,0.77197,0.57263,0.62375,0.40543,1.1271,1.1266,1.1014,0.0008713,0.0008713,0.0008713
106,1.2715,1.2729,1.1181,0.77393,0.586,0.62989,0.39351,1.2079,1.1588,1.1391,0.00087006,0.00087006,0.00087006
107,1.2807,1.2923,1.1233,0.77736,0.57976,0.62494,0.40906,1.1409,1.1342,1.1046,0.00086882,0.00086882,0.00086882
108,1.2691,1.2854,1.1196,0.77356,0.57304,0.63012,0.4048,1.1342,1.16,1.106,0.00086759,0.00086759,0.00086759
109,1.247,1.2905,1.1215,0.76256,0.59195,0.63598,0.41565,1.1277,1.2289,1.0996,0.00086635,0.00086635,0.00086635
110,1.2627,1.2727,1.1208,0.77371,0.58458,0.63782,0.40999,1.169,1.1407,1.1218,0.00086511,0.00086511,0.00086511
111,1.2536,1.2749,1.1185,0.77472,0.59536,0.64874,0.41064,1.1769,1.112,1.121,0.00086388,0.00086388,0.00086388
112,1.2432,1.2319,1.1092,0.77535,0.58532,0.6402,0.42017,1.1136,1.1521,1.0928,0.00086264,0.00086264,0.00086264
113,1.2355,1.2291,1.1128,0.75729,0.60972,0.6504,0.42464,1.1163,1.1107,1.0974,0.0008614,0.0008614,0.0008614
114,1.2387,1.2454,1.1024,0.77947,0.622,0.64994,0.42484,1.1159,1.0874,1.0925,0.00086016,0.00086016,0.00086016
115,1.2808,1.2624,1.1223,0.79859,0.62005,0.66151,0.42774,1.127,1.0829,1.0934,0.00085893,0.00085893,0.00085893
116,1.2567,1.2824,1.1204,0.79818,0.615,0.65682,0.42412,1.1058,1.1594,1.0872,0.00085769,0.00085769,0.00085769
117,1.2438,1.251,1.1055,0.80583,0.62669,0.67639,0.44632,1.0986,1.0609,1.0851,0.00085645,0.00085645,0.00085645
118,1.2378,1.2521,1.1051,0.78937,0.60393,0.65855,0.42531,1.1424,1.0828,1.106,0.00085521,0.00085521,0.00085521
119,1.2482,1.2358,1.1085,0.78255,0.62949,0.66764,0.43734,1.0977,1.034,1.0859,0.00085398,0.00085398,0.00085398
120,1.2346,1.2321,1.0945,0.80433,0.61659,0.67341,0.44075,1.0903,1.0412,1.0826,0.00085274,0.00085274,0.00085274
121,1.2494,1.213,1.113,0.81126,0.62058,0.67511,0.44097,1.1194,1.0463,1.0976,0.0008515,0.0008515,0.0008515
122,1.228,1.2057,1.104,0.82658,0.60486,0.66888,0.43264,1.1087,1.0763,1.0874,0.00085026,0.00085026,0.00085026
123,1.2244,1.1931,1.0984,0.81687,0.62748,0.68218,0.45433,1.0735,0.98694,1.0723,0.00084902,0.00084902,0.00084902
124,1.2136,1.2156,1.098,0.77276,0.60623,0.65155,0.43162,1.0779,1.0809,1.0719,0.00084779,0.00084779,0.00084779
125,1.2403,1.2088,1.103,0.81864,0.61673,0.67353,0.44405,1.0894,1.0345,1.0809,0.00084655,0.00084655,0.00084655
126,1.204,1.1742,1.0906,0.80802,0.63869,0.68267,0.44985,1.0995,1.0016,1.0837,0.00084531,0.00084531,0.00084531
